streetAddress,suburb,state,postcode,propertyType,bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,salePrice,saleDate,saleType,agency,landUse,developmentZone,parcelDetails,ownerType,openInRpdata,sourceFile,agencyBrand,saleYear,saleMonth,saleYearMonth,street,month_id,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_txn_count_12m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_6m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,rel_price_vs_suburb_median,rel_street_effect,propertyAge,propertyAgeBand
7 RESERVE AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,4.0,1.0,736.0,366.0,2024.0,1272500.0,2022-03-31,Unknown,Other,Detached Dwelling,NRZ3,21/LP41887,Rented,https://rpp.corelogic.com.au/property/7-reserve-avenue-mitcham-vic-3132/11857574,propertyExport_20250901115240.csv,Ray White,2022,3,202203,Reserve Avenue,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.094153052450559,1.302264280936912,,
11 ROSSTREVOR CRESCENT,MITCHAM,VIC,3132,HOUSE,5.0,2.0,2.0,690.0,205.0,1940.0,1862000.0,2022-03-28,Unknown,Noel Jones Mitcham,Detached Dwelling,NRZ3,92/LP17899,Owner Occupied,https://rpp.corelogic.com.au/property/11-rosstrevor-crescent-mitcham-vic-3132/11857850,propertyExport_20250901115240.csv,Noel Jones,2022,3,202203,Rosstrevor Crescent,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.6010318142734308,1.2906766019157805,82.0,21+
36 MADISON BOULEVARD,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,345.0,173.0,2004.0,1100800.0,2022-03-27,Unknown,Harcourts Vermont South,OYO Subdivided Dwelling,NRZ3,47/PS449279,Rented,https://rpp.corelogic.com.au/property/36-madison-boulevard-mitcham-vic-3132/11853609,propertyExport_20250901115240.csv,Harcourts,2022,3,202203,Madison Boulevard,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.9465176268271711,1.0639073411712274,18.0,6–20
2A CHASTA CRESCENT,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,257.0,124.0,1980.0,870000.0,2022-03-26,Unknown,Fletchers Blackburn,Other,NRZ3,2/PS303091,Rented,https://rpp.corelogic.com.au/property/2a-chasta-crescent-mitcham-vic-3132/11848063,propertyExport_20250901115240.csv,Fletchers,2022,3,202203,Chasta Crescent,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.7480653482373173,1.1278629276196859,42.0,21+
10A EDWARD STREET,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,205.0,82.0,1977.0,685000.0,2022-03-26,Unknown,Jellis Craig Whitehorse,Detached Dwelling,GRZ1,2/PS323187,Rented,https://rpp.corelogic.com.au/property/10a-edward-street-mitcham-vic-3132/11850533,propertyExport_20250901115240.csv,Jellis Craig,2022,3,202203,Edward Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.588993981083405,0.9731176524881643,45.0,21+
35 HAINES STREET,MITCHAM,VIC,3132,UNIT,3.0,3.0,1.0,305.0,144.0,2017.0,1200000.0,2022-03-26,Unknown,Fletchers Blackburn,OYO Subdivided Dwelling,NRZ4,1/PS745601,Rented,https://rpp.corelogic.com.au/property/35-haines-street-mitcham-vic-3132/37464802,propertyExport_20250901115240.csv,Fletchers,2022,3,202203,Haines Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.0318142734307825,1.1118761471790368,5.0,0–5
7 HAVEN COURT,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,668.0,228.0,1965.0,1480000.0,2022-03-26,Unknown,Other,Detached Dwelling,NRZ3,20/LP72188,Owner Occupied,https://rpp.corelogic.com.au/property/7-haven-court-mitcham-vic-3132/11852113,propertyExport_20250901115240.csv,Noel Jones,2022,3,202203,Haven Court,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.2725709372312983,,57.0,21+
1 MOUNTFIELD ROAD,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,660.0,128.0,1980.0,981000.0,2022-03-26,Unknown,Other,Detached Dwelling,NRZ4,219/LP26189,Rented,https://rpp.corelogic.com.au/property/1-mountfield-road-mitcham-vic-3132/11855289,propertyExport_20250901115240.csv,Ray White,2022,3,202203,Mountfield Road,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.8435081685296647,1.1123205779854486,42.0,21+
52 ROSSTREVOR CRESCENT,MITCHAM,VIC,3132,HOUSE,3.0,2.0,1.0,707.0,128.0,1950.0,1561000.0,2022-03-26,Unknown,Other,Detached Dwelling,NRZ3,51/LP17899,Owner Occupied,https://rpp.corelogic.com.au/property/52-rosstrevor-crescent-mitcham-vic-3132/11857936,propertyExport_20250901115240.csv,Woodards,2022,3,202203,Rosstrevor Crescent,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.3422184006878761,1.306491870482511,72.0,21+
2 VICTORY STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,700.0,107.0,1980.0,990000.0,2022-03-26,Unknown,Woodards Blackburn,Detached Dwelling,GRZ2,4/LP7515,Rented,https://rpp.corelogic.com.au/property/2-victory-street-mitcham-vic-3132/11859832,propertyExport_20250901115240.csv,Woodards,2022,3,202203,Victory Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.8512467755803955,1.0218465187840686,42.0,21+
17 HOPETOUN STREET,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,1010.0,262.0,1950.0,1912000.0,2022-03-25,Unknown,Barry Plant - Blackburn,Detached Dwelling,NRZ3,157/LP8809,Owner Occupied,https://rpp.corelogic.com.au/property/17-hopetoun-street-mitcham-vic-3132/11852655,propertyExport_20250901115240.csv,Barry Plant,2022,3,202203,Hopetoun Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.64402407566638,0.8364712589988763,72.0,21+
9 MEERUT STREET,MITCHAM,VIC,3132,HOUSE,5.0,2.0,2.0,588.0,128.0,1980.0,1957000.0,2022-03-25,Unknown,Woodards Blackburn,Detached Dwelling,NRZ1,LOT 3 PS426339 & LOT 4 TP842417,Owner Occupied,https://rpp.corelogic.com.au/property/9-meerut-street-mitcham-vic-3132/11854063,propertyExport_20250901115240.csv,Woodards,2022,3,202203,Meerut Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.6827171109200343,1.176658003872379,42.0,21+
5/11 CHURCH STREET,MITCHAM,VIC,3132,UNIT,1.0,1.0,1.0,809.0,52.0,2012.0,367000.0,2022-03-23,Unknown,Other,Single Strata Unit/Villa Unit/Townhouse,GRZ2,5/PS638440,Rented,https://rpp.corelogic.com.au/property/5-11-church-street-mitcham-vic-3132/15956691,propertyExport_20250901115240.csv,Ray White,2022,3,202203,Church Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.31556319862424764,0.6074140108368145,10.0,6–20
523 WHITEHORSE ROAD,MITCHAM,VIC,3132,COMMERCIAL: RETAIL BUILDING,3.0,2.0,2.0,269.0,214.0,1980.0,1640000.0,2022-03-23,Unknown,Other,Other,C1Z,1/TP130446,Unknown,https://rpp.corelogic.com.au/property/523-whitehorse-road-mitcham-vic-3132/15727846,propertyExport_20250901115240.csv,Other,2022,3,202203,Whitehorse Road,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.410146173688736,1.660116763274821,42.0,21+
2/19 DUDLEY STREET,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,170.0,128.0,1980.0,950000.0,2022-03-22,Unknown,Unknown,Single Strata Unit/Villa Unit/Townhouse,Unknown,2/PS849299,Owner Occupied,https://rpp.corelogic.com.au/property/2-19-dudley-street-mitcham-vic-3132/50690902,propertyExport_20250901115240.csv,Other,2022,3,202203,Dudley Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.8168529664660361,0.9443120424455492,42.0,21+
140-142 HEATHERDALE ROAD,MITCHAM,VIC,3132,HOUSE,3.0,1.0,3.0,775.0,130.0,1960.0,1225000.0,2022-03-21,Unknown,Barry Plant - Blackburn,Detached Dwelling,NRZ3,1/PS345685,Owner Occupied,https://rpp.corelogic.com.au/property/140-142-heatherdale-road-mitcham-vic-3132/11852337,propertyExport_20250901115240.csv,Barry Plant,2022,3,202203,Heatherdale Road,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.0533104041272572,0.7303345155408356,62.0,21+
1/21 BURNETT STREET,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,199.0,130.0,2002.0,750000.0,2022-03-19,Unknown,Jellis Craig Doncaster,Single Strata Unit/Villa Unit/Townhouse,NRZ4,1/PS447076,Rented,https://rpp.corelogic.com.au/property/1-21-burnett-street-mitcham-vic-3132/11847460,propertyExport_20250901115240.csv,Jellis Craig,2022,3,202203,Burnett Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.6448839208942391,1.1521582409635156,20.0,6–20
32 FULLER STREET,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,1312.0,128.0,1980.0,0.0,2022-03-19,Nils And Wills,Other,Unknown,Unknown,2/PS839900,Owner Occupied,https://rpp.corelogic.com.au/property/32-fuller-street-mitcham-vic-3132/48261165,propertyExport_20250901115240.csv,Ray White,2022,3,202203,Fuller Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.0,0.9571881608064526,42.0,21+
13 IAN CRESCENT,MITCHAM,VIC,3132,HOUSE,7.0,3.0,6.0,943.0,128.0,1980.0,1508800.0,2022-03-19,Unknown,Other,Detached Dwelling,NRZ3,34/LP28014,Owner Occupied,https://rpp.corelogic.com.au/property/13-ian-crescent-mitcham-vic-3132/11852767,propertyExport_20250901115240.csv,Other,2022,3,202203,Ian Crescent,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.2973344797936373,1.3335715728743114,42.0,21+
20 SUNSHINE AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,606.0,234.0,2012.0,2120000.0,2022-03-19,Unknown,Jellis Craig Whitehorse,Detached Dwelling,NRZ3,40/LP27432,Owner Occupied,https://rpp.corelogic.com.au/property/20-sunshine-avenue-mitcham-vic-3132/11858935,propertyExport_20250901115240.csv,Jellis Craig,2022,3,202203,Sunshine Avenue,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.822871883061049,1.3017007440569177,10.0,6–20
18 VENICE AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,2.0,3.0,542.0,145.0,1980.0,1220000.0,2022-03-19,Unknown,Other,Detached Dwelling,GRZ1,13/LP68323,Owner Occupied,https://rpp.corelogic.com.au/property/18-venice-avenue-mitcham-vic-3132/11859493,propertyExport_20250901115240.csv,Barry Plant,2022,3,202203,Venice Avenue,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.049011177987962,0.9989999082676208,42.0,21+
5 ENDEAVOUR STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,797.0,123.17,1960.0,1220000.0,2022-03-18,Unknown,Other,Detached Dwelling,NRZ1,33/LP21039,Owner Occupied,https://rpp.corelogic.com.au/property/5-endeavour-street-mitcham-vic-3132/11850588,propertyExport_20250901115240.csv,Other,2022,3,202203,Endeavour Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.049011177987962,1.33909597580269,62.0,21+
10/613 WHITEHORSE ROAD,MITCHAM,VIC,3132,Other,3.0,2.0,2.0,591.0,272.0,1980.0,1963000.0,2022-03-18,Unknown,Other,Other,IN3Z,10/PS419742,Unknown,https://rpp.corelogic.com.au/property/10-613-whitehorse-road-mitcham-vic-3132/11860842,propertyExport_20250901115240.csv,Other,2022,3,202203,Whitehorse Road,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,1.6878761822871884,1.658242283371261,42.0,21+
9 PEEL STREET,MITCHAM,VIC,3132,HOUSE,2.0,1.0,2.0,414.0,72.0,1960.0,940000.0,2022-03-17,Unknown,Barry Plant - Blackburn,Detached Dwelling,GRZ1,74/LP2105,Rented,https://rpp.corelogic.com.au/property/9-peel-street-mitcham-vic-3132/11856516,propertyExport_20250901115240.csv,Barry Plant,2022,3,202203,Peel Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.8082545141874462,1.1737656789446596,62.0,21+
1B NORMAN STREET,MITCHAM,VIC,3132,UNIT,3.0,2.0,1.0,224.0,111.0,2015.0,930000.0,2022-03-16,Unknown,Noel Jones Mitcham,OYO Subdivided Dwelling,NRZ3,3/PS738112,Owner Occupied,https://rpp.corelogic.com.au/property/1b-norman-street-mitcham-vic-3132/17423053,propertyExport_20250901115240.csv,Noel Jones,2022,3,202203,Norman Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.7996560619088564,1.5090765935183275,7.0,6–20
2/30 BURNETT STREET,MITCHAM,VIC,3132,UNIT,3.0,3.0,2.0,223.0,128.0,2010.0,1110000.0,2022-03-15,Unknown,Harcourts Vermont South,Single Strata Unit/Villa Unit/Townhouse,NRZ4,2/PS528276,Owner Occupied,https://rpp.corelogic.com.au/property/2-30-burnett-street-mitcham-vic-3132/11847514,propertyExport_20250901115240.csv,Harcourts,2022,3,202203,Burnett Street,65,1.0,6.123233995736766e-17,1163000.0,38.0,1280181.3015426127,950000.0,1033750.0,1011250.0,80.0,189.0,398.0,886728.9057234101,654578.9624206627,697498.3450459274,0.09150633505396533,0.356268221574344,1205000.0,19.0,456953.3516187491,1205000.0,1245000.0,1241625.0,39.0,92.0,188.0,488562.92317888985,368315.0831035089,479403.1959607085,0.04283859800951961,0.04329004329004338,840000.0,19.0,1777564.4022217426,827888.0,832944.0,839000.0,41.0,97.0,210.0,1072123.120708074,752335.8124687985,729656.3289335159,0.03384615384615386,0.16666666666666674,0.9544282029234737,1.1407429701952712,12.0,6–20
